name	country	gender	birthdate	competition_years	first	last
Leopoldo TEJADA RIOS	MEX	M	17 Nov 1986	1986	2015,2014,2014,2013,2013,2011,2007,2004,2003	2003	2015
Marije VAN AMERSFOORT	NED	W	25 Jul 1986	1986	2008,2007,2007,2004,2003	2003	2008
Olaf BARTELS	NED	M	31 Jan 1986	1986	2003	2003	2003
Jan-Jacob BLUSSE	NED	M	7 Sep 1985	1985	2003	2003	2003
Willemiek EVERTS	NED	W	5 Dec 1985	1985	2007,2007,2003	2003	2007
Timothee HEIJBROCK	NED	M	28 Oct 1985	1985	2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2010,2010,2010,2010,2009,2009,2009,2008,2008,2007,2007,2007,2006,2005,2003	2003	2016
Francisca KIEZEBRINK	NED	W	13 Aug 1985	1985	2003	2003	2003
Katie STEENMAN	NED	W	2 Apr 1987	1987	2008,2007,2007,2006,2005,2004,2003	2003	2008
Merel STEINWEG	NED	W	25 Mar 1985	1985	2006,2003	2003	2006
Hilko SWANK	NED	M	18 Feb 1986	1986	2008,2006,2004,2003	2003	2008
Guido VAN APELDOORN	NED	M	13 Mar 1985	1985	2003	2003	2003
Teun VAN DER KROEF	NED	M	11 Sep 1985	1985	2007,2003	2003	2007
Adriaan VAN DER ZEE	NED	M	13 Apr 1985	1985	2003	2003	2003
Florian VAN 'T HOFF	NED	M	28 Aug 1985	1985	2003	2003	2003
Synnoeve FLESLAND	NOR	W	22 Dec 1985	1985	2003	2003	2003
Morten HOLT	NOR	M	10 Mar 1986	1986	2003	2003	2003
Lise KROHN-HANSEN	NOR	W	12 Apr 1985	1985	2003	2003	2003
Peder MYHRE	NOR	M	30 Jan 1985	1985	2003	2003	2003
Svein Urban RINGSTAD	NOR	M	10 Aug 1985	1985	2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2007,2006,2005,2003	2003	2012
Sophie AUBREY	NZL	W	23 Nov 1986	1986	2004,2003	2003	2004
Charlotte BAXTER	NZL	W	8 Nov 1985	1985	2003	2003	2003
Hamish BOND	NZL	M	13 Feb 1986	1986	2016,2016,2016,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2004,2003	2003	2016
Nathan COHEN	NZL	M	2 Jan 1986	1986	2013,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2004,2003	2003	2013
Amanda GRIGG	NZL	W	7 Oct 1986	1986	2003	2003	2003
Mathew JENSEN	NZL	M	3 Sep 1985	1985	2003	2003	2003
Gerhardus KEMP	NZL	M	18 Mar 1986	1986	2004,2003	2003	2004
Eli KHRAPKO	NZL	M	26 Aug 1986	1986	2003	2003	2003
Rosslyn KNOX	NZL	W	24 Jan 1986	1986	2008,2007,2006,2003	2003	2008
Mary LISTER	NZL	W	8 Feb 1985	1985	2003	2003	2003
Alex MAMO	NZL	M	20 Apr 1985	1985	2003	2003	2003
Kiel MANS	NZL	M	17 Mar 1987	1987	2005,2003	2003	2005
Hayley MCINNARNEY	NZL	W	9 Aug 1986	1986	2004,2003	2003	2004
Jaime NIELSEN	NZL	W	3 Sep 1985	1985	2007,2006,2005,2004,2003	2003	2007
Rebecca PIERCE	NZL	W	18 Dec 1986	1986	2004,2003	2003	2004
Bradley PORTER	NZL	M	3 Nov 1986	1986	2004,2003	2003	2004
Benjamin SCOTT	NZL	M	1 Oct 1985	1985	2007,2007,2007,2003	2003	2007
Erin TOLHURST	NZL	W	6 May 1986	1986	2008,2008,2007,2007,2007,2006,2006,2006,2004,2003	2003	2008
Emma TWIGG	NZL	W	1 Mar 1987	1987	2016,2016,2016,2014,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2008,2007,2007,2006,2006,2006,2005,2005,2004,2003	2003	2016
Campbell WINTER	NZL	M	23 May 1985	1985	2005,2003	2003	2005
Jacek BILICKI	POL	M	13 Apr 1986	1986	2004,2003	2003	2004
Jakub KRUK DAMIAN	POL	M	10 Aug 1985	1985	2003	2003	2003
Milosz MACIEJEWSKI	POL	M	17 Aug 1985	1985	2003	2003	2003
Katarzyna PAWLOWSKA	POL	W	2 Jul 1985	1985	2004,2003	2003	2004
Olga PINSKA	POL	W	22 Aug 1985	1985	2005,2004,2003	2003	2005
Tomasz RATAJCZYK	POL	M	22 Oct 1986	1986	2004,2003	2003	2004
Maciej RYGIELSKI	POL	M	28 Aug 1986	1986	2003	2003	2003
Artur SAKOWSKI	POL	M	11 Aug 1985	1985	2007,2006,2003	2003	2007
Anna SPECJALSKA	POL	W	14 Apr 1985	1985	2005,2004,2003	2003	2005
Ricardo SANTOS LOPES	POR	M	10 Jun 1985	1985	2004,2004,2003	2003	2004
Andreea AIROAIE	ROU	W	9 Feb 1986	1986	2004,2003	2003	2004
Florin APETROAE	ROU	M	10 Mar 1985	1985	2005,2005,2004,2003	2003	2005
Camelia BURCA	ROU	W	15 Jul 1986	1986	2004,2003	2003	2004
Georgian CIOTIRCA	ROU	M	4 Sep 1985	1985	2003	2003	2003
Ionut COGEANU	ROU	M	9 Sep 1985	1985	2003	2003	2003
Roxana COGIANU	ROU	W	21 Sep 1986	1986	2016,2016,2016,2015,2015,2015,2014,2014,2013,2013,2013,2012,2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2008,2007,2007,2007,2007,2006,2006,2006,2006,2005,2004,2003	2003	2016
Daniel FRATEANU	ROU	M	26 Oct 1986	1986	2007,2006,2006,2006,2006,2006,2005,2005,2005,2004,2003	2003	2007
Camelia LUPASCU	ROU	W	29 Jul 1986	1986	2013,2013,2013,2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2007,2007,2007,2007,2006,2006,2006,2006,2006,2005,2005,2005,2005,2004,2003	2003	2013
Andreea MOLDOVANU	ROU	W	30 Nov 1985	1985	2004,2003	2003	2004
Ciprian NITA	ROU	M	28 Feb 1986	1986	2004,2003	2003	2004
Andreea OACHESU	ROU	W	16 Jun 1985	1985	2004,2003	2003	2004
Adriana OANCEA	ROU	W	6 Oct 1986	1986	2005,2005,2004,2003	2003	2005
Alina ORMENISAN	ROU	W	3 Oct 1985	1985	2004,2003	2003	2004
Gheorghe OROS	ROU	M	29 Apr 1986	1986	2009,2008,2008,2007,2007,2007,2007,2006,2006,2006,2005,2004,2003	2003	2009
Ramona POLOSANU	ROU	W	7 Mar 1985	1985	2003	2003	2003
Cristian SIRBU	ROU	M	26 Feb 1986	1986	2008,2008,2007,2007,2006,2006,2005,2004,2003	2003	2008
Liviu STANESCU	ROU	M	29 Jan 1985	1985	2003	2003	2003
Mihaela TALPALARIU	ROU	W	10 Aug 1985	1985	2003	2003	2003
Catalin TODIRENCHI	ROU	M	19 Apr 1985	1985	2009,2007,2006,2003	2003	2009
Anca TUCA	ROU	W	15 Sep 1985	1985	2003	2003	2003
Tiberiu ZAHARIA	ROU	M	23 Aug 1985	1985	2003	2003	2003
Ryan ANDERSON	RSA	M	23 Jul 1986	1986	2004,2003	2003	2004
Philip BRIERLEY	RSA	M	7 May 1985	1985	2003	2003	2003
Brendan COLE	RSA	M	28 May 1986	1986	2004,2003	2003	2004
Wesley FERREIRA	RSA	M	30 May 1985	1985	2003	2003	2003
Graham HOOD	RSA	M	19 Mar 1986	1986	2003	2003	2003
Sean IRWIN	RSA	M	4 Jul 1986	1986	2006,2004,2003	2003	2006
Anthony LESTER	RSA	M	15 Feb 1986	1986	2003	2003	2003
Benjamin LOVELACE	RSA	M	5 Feb 1987	1987	2004,2003	2003	2004
John LUCK	RSA	M	10 May 1986	1986	2006,2004,2003	2003	2006
Christopher MADELEY	RSA	M	2 Mar 1985	1985	2003	2003	2003
Thamsanqa MAVUYA	RSA	M	15 Aug 1986	1986	2003	2003	2003
Barrie-Jon MULDER	RSA	M	4 Mar 1985	1985	2003	2003	2003
Brett PACHONICK	RSA	M	13 Jan 1987	1987	2004,2003	2003	2004
Selwyn PEARTON	RSA	M	18 Sep 1985	1985	2003	2003	2003
Andrew POLASEK	RSA	M	6 May 1985	1985	2011,2011,2010,2010,2009,2007,2006,2003	2003	2011
Scott QUY	RSA	M	5 Sep 1986	1986	2004,2003	2003	2004
Warren STRONG	RSA	M	20 Apr 1985	1985	2003	2003	2003
James THOMPSON	RSA	M	18 Nov 1986	1986	2016,2016,2016,2015,2015,2014,2014,2013,2013,2012,2012,2011,2011,2010,2010,2010,2009,2008,2007,2007,2006,2004,2003	2003	2016
Kirill BUTKO	RUS	M	17 Apr 1986	1986	2005,2004,2003	2003	2005
Pavel SHEKLISHKIN	RUS	M	1 Mar 1985	1985	2003	2003	2003
Ann DOBRYANSKAYA	RUS	W	19 May 1985	1985	2003	2003	2003
Elena EMELYASHINA	RUS	W	15 Apr 1986	1986	2007,2007,2007,2006,2006,2004,2003	2003	2007
Mikhail GUSEV	RUS	M	11 Apr 1986	1986	2004,2003	2003	2004
Sergej KHRYUKIN	RUS	M	24 Aug 1985	1985	2003	2003	2003
Viktor KNYAZEV	RUS	M	9 Mar 1985	1985	2003	2003	2003
Alexander KORNILOV	RUS	M	12 Apr 1985	1985	2017,2017,2017,2017,2016,2016,2016,2015,2014,2014,2013,2009,2008,2008,2008,2007,2007,2007,2006,2006,2005,2005,2004,2003	2003	2017
Artem KOSOV	RUS	M	4 Aug 1986	1986	2018,2018,2018,2018,2017,2017,2017,2017,2016,2016,2016,2016,2015,2015,2014,2014,2014,2013,2013,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2010,2009,2009,2009,2009,2008,2007,2006,2005,2004,2003	2003	2018
Djamal LEKVEISHVILI	RUS	M	26 Jan 1985	1985	2003	2003	2003
Anton PETROV	RUS	M	16 Mar 1986	1986	2004,2003	2003	2004
Ksenia SAYFUTDINOVA	RUS	W	20 Oct 1986	1986	2010,2010,2010,2010,2008,2006,2005,2005,2004,2003	2003	2010
Sergey SHUSHIN	RUS	M	19 Jun 1985	1985	2008,2007,2005,2004,2003	2003	2008
Anna STARSHINOVA	RUS	W	14 Jan 1985	1985	2003	2003	2003
Alexander USTINOV	RUS	M	21 Feb 1986	1986	2004,2003	2003	2004
Marko MARJANOVIC	SRB	M	24 Nov 1985	1985	2018,2018,2018,2018,2017,2017,2017,2017,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2011,2011,2010,2010,2010,2010,2010,2009,2009,2009,2008,2008,2007,2007,2006,2006,2005,2003	2003	2018
Anze BLAZIC	SLO	M	29 Feb 1988	1988	2003	2003	2003
Klemen KOGLER	SLO	M	5 Mar 1987	1987	2007,2006,2005,2004,2003	2003	2007
Marko PILIPOVIC	SLO	M	27 Jan 1986	1986	2004,2003	2003	2004
Luka PRISTOV	SLO	M	2 Jan 1985	1985	2007,2006,2005,2005,2003	2003	2007
Rok ROGELJ	SLO	M	12 May 1987	1987	2006,2005,2003	2003	2006
Jaka VADNJAL	SLO	M	31 Oct 1986	1986	2003	2003	2003
Matthias GNOS	SUI	M	4 Sep 1985	1985	2006,2006,2006,2005,2004,2004,2003	2003	2006
Basil GRUETER	SUI	M	4 Jan 1986	1986	2007,2004,2003	2003	2007
Mario GYR	SUI	M	2 May 1985	1985	2018,2018,2018,2016,2016,2016,2016,2015,2015,2015,2015,2015,2014,2014,2014,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2008,2008,2008,2006,2006,2006,2005,2005,2004,2003	2003	2018
Martin HOBI	SUI	M	4 Jan 1986	1986	2008,2008,2007,2005,2004,2003	2003	2008
Antonina IAGOVITINA	SUI	W	12 Dec 1985	1985	2009,2007,2006,2006,2005,2005,2004,2004,2004,2003	2003	2009
Fabienne JOST	SUI	W	16 Feb 1985	1985	2003	2003	2003
Marian KUPFERSCHMIDT	SUI	M	15 Jan 1986	1986	2007,2006,2006,2005,2005,2004,2003	2003	2007
Christoph LEU	SUI	M	29 Apr 1986	1986	2004,2003	2003	2004
Martin LEU	SUI	M	12 May 1988	1988	2007,2003	2003	2007
Luca MANSER	SUI	M	6 Nov 1986	1986	2004,2003	2003	2004
Simon NIEPMANN	SUI	M	2 Aug 1985	1985	2016,2016,2016,2016,2015,2015,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2006,2006,2006,2005,2004,2004,2003	2003	2016
Christian SPERB	SUI	M	2 Oct 1986	1986	2004,2003	2003	2004
Christian STALDER	SUI	M	26 Apr 1985	1985	2003	2003	2003
Rik VILS	SUI	M	2 Jun 1987	1987	2007,2006,2005,2004,2003	2003	2007
Lukas WERNAS	SUI	M	30 Nov 1985	1985	2007,2006,2006,2006,2005,2005,2003	2003	2007
Ralph WYRSCH	SUI	M	3 Apr 1986	1986	2004,2003	2003	2004
Dusan HERDA	SVK	M	20 Aug 1985	1985	2003	2003	2003
Rastislav JURIK	SVK	M	16 Dec 1985	1985	2003	2003	2003
Matej SINSKY	SVK	M	23 Jul 1988	1988	2003	2003	2003
Carin ANDERSSON	SWE	W	23 Jan 1986	1986	2011,2008,2007,2006,2004,2003	2003	2011
David ANDERSSON	SWE	M	1 Apr 1985	1985	2003	2003	2003
Johan HALLGREN	SWE	M	4 Mar 1985	1985	2003	2003	2003
Olexandr GOGUNS'KY	UKR	M	17 Jul 1985	1985	2006,2006,2003	2003	2006
Olena HURKOVSKA	UKR	W	28 Oct 1987	1987	2005,2003	2003	2005
Anton KHOLYAZNYKOV	UKR	M	10 Dec 1986	1986	2018,2017,2017,2016,2016,2015,2015,2014,2013,2012,2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2009,2009,2008,2007,2005,2004,2003	2003	2018
Anna KRAVCHENKO	UKR	W	25 Jun 1986	1986	2016,2016,2016,2015,2015,2014,2014,2013,2012,2012,2012,2012,2012,2011,2011,2011,2011,2009,2008,2006,2006,2005,2004,2003	2003	2016
Oleksandr PAKHOMOV	UKR	M	18 Dec 1986	1986	2008,2008,2007,2006,2006,2005,2004,2004,2003	2003	2008
Anatoliy PAVLYUK	UKR	M	28 May 1986	1986	2005,2004,2004,2003	2003	2005
Vitaliy RASKYDNYY	UKR	M	5 Feb 1986	1986	2005,2004,2003	2003	2005
Oleksandr SHARAY	UKR	M	20 Sep 1986	1986	2004,2003	2003	2004
Andriy SHPAK	UKR	M	3 Mar 1986	1986	2014,2012,2012,2012,2011,2010,2010,2010,2010,2009,2009,2008,2008,2007,2007,2006,2005,2004,2003	2003	2014
Vitaliy YERCHENKO	UKR	M	2 May 1986	1986	2003	2003	2003
Owen CADWALADER	USA	M	22 Feb 1985	1985	2003	2003	2003
Charles COLE	USA	M	21 Jun 1986	1986	2016,2016,2016,2015,2015,2014,2012,2011,2011,2010,2010,2010,2009,2009,2009,2008,2007,2006,2004,2003	2003	2016
COOKE	USA	M	25 Oct 1985	1985	2003	2003	2003
Cara DERMODY	USA	W	29 Mar 1987	1987	2004,2003	2003	2004
Melinda FIESLER	USA	W	9 May 1986	1986	2004,2003	2003	2004
Kelly FOSTER	USA	W	24 Sep 1985	1985	2003	2003	2003
Meghan GAAB	USA	W	22 Jun 1985	1985	2003	2003	2003
Bryan GEIST	USA	M	2 Sep 1986	1986	2003	2003	2003
Will GOLDENHEIM	USA	M	19 Mar 1985	1985	2003	2003	2003
Jennie HANSEN	USA	W	28 Oct 1985	1985	2003	2003	2003
Caroline KRUSE	USA	W	23 Mar 1985	1985	2003	2003	2003
Sara LIPPA	USA	W	19 Jul 1985	1985	2003	2003	2003
Al MONTE	USA	M	11 Feb 1985	1985	2003	2003	2003
Stephen NEWARK	USA	M	23 Aug 1985	1985	2003	2003	2003
Joseph NOZZOLILLO	USA	M	23 Jan 1986	1986	2003	2003	2003
Glenn OCHAL	USA	M	1 Mar 1986	1986	2018,2016,2016,2016,2015,2015,2014,2013,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2007,2005,2003	2003	2018
Courtney PLITT	USA	W	7 Mar 1985	1985	2003	2003	2003
Schuyler REECE	USA	M	5 May 1985	1985	2003	2003	2003
Emily SCHOFIELD	USA	W	10 Oct 1986	1986	2004,2003	2003	2004
Quinn SIVAGE	USA	M	27 May 1986	1986	2003	2003	2003
Andrea SOOTER	USA	W	13 Jul 1985	1985	2007,2003	2003	2007
Rickey VISINSKI JR	USA	M	28 Jun 1985	1985	2003	2003	2003
Solon WAYNE APOSHIAN	USA	M	6 Apr 1986	1986	2004,2003	2003	2004
Max WYATT	CAN	M	19 May 1986	1986	2006,2004,2003	2003	2006
Ping ZHAO	CHN	W	7 Feb 1982	1982	None	None	None
Diego AGUIRREGOMEZCORTA	ESP	M	9 Dec 1974	1974	2007,2007,2004,2004,2004,2003	2003	2007
Andreu CASTELLA GASPARIN	ESP	M	13 Jan 1986	1986	2011,2011,2010,2010,2010,2010,2009,2009,2009,2008,2008,2007,2004,2003	2003	2011
Pau GIMENEZ GRAU	ESP	M	17 Jan 1986	1986	None	None	None
Kairi KILLING	EST	W	27 Aug 1988	1988	None	None	None
Sigrid KURGJAERV	EST	W	30 Mar 1988	1988	None	None	None
Xavier BOUCHARD	FRA	M	28 Jun 1985	1985	None	None	None
Sebastien DECODTS	FRA	M	15 Feb 1985	1985	None	None	None
Amaury DUCHAUSSOY	FRA	M	11 Apr 1985	1985	None	None	None
Camilla ESPANA	ITA	W	1 Mar 1988	1988	2009,2009,2008,2008,2006,2005,2004	2004	2009
Damien MARGAT	FRA	M	10 Apr 1983	1983	2007,2007,2007,2006,2006,2005,2005,2004,2003,2003	2003	2007
Donatien MORTELETTE	FRA	M	26 Apr 1982	1982	2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2004,2004,2003,2000	2000	2007
Maeve TITEUX	FRA	W	3 May 1985	1985	None	None	None
Paul ASKAM-SPENCER	GBR	M	1 May 1982	1982	2004,2003	2003	2004
Benjamin COLALUCA	GBR	M	21 Feb 1985	1985	None	None	None
Alan CROWTHER	GBR	M	29 Jul 1965	1965	2007,2007,2006,2005,2004,2003	2003	2007
Rob HOLLIDAY	GBR	M	11 Aug 1959	1959	2005,2004,2003	2003	2005
Mark POLLOCK	GBR	M	29 Feb 1976	1976	None	None	None
Judith ALDINGER	GER	W	29 Jun 1985	1985	2009,2008,2007,2007,2006,2006	2006	2009
Julia FALKENBERG	GER	W	20 Oct 1988	1988	None	None	None
Max BANDEL	GER	M	10 Jan 1986	1986	2008,2008,2007,2006,2004	2004	2008
Simon BURKEL	GER	M	22 Apr 1986	1986	2006	2006	2006
Karim DJAMSHIDI GILANI	GER	M	20 Apr 1985	1985	2007,2006,2005,2004	2004	2007
Robin EHRMINGER	GER	M	29 Nov 1986	1986	2004	2004	2004
Michael EIBERLE	GER	M	28 Nov 1986	1986	2006,2004	2004	2006
Florian EICHNER	GER	M	16 Dec 1985	1985	2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2008,2008,2008,2008,2007,2007,2007,2007,2006,2006,2006,2006,2005	2005	2012
Michelle FISCHER	GER	W	26 Jul 1985	1985	2006,2005	2005	2006
Samuel GARTEN	GER	M	5 Jun 1986	1986	2008,2008,2007,2006	2006	2008
Nicole GRILLE	GER	W	23 Jul 1985	1985	None	None	None
Jan-Hendrik GROTEWOHL	GER	M	6 Jan 1986	1986	None	None	None
Jeannine HENNICKE	GER	W	24 Oct 1985	1985	2008,2008,2007,2007,2007,2007,2006,2006,2006,2005,2005	2005	2008
Martin HUETTNER	GER	M	10 Jun 1986	1986	2004	2004	2004
Hannes ILLGEN	GER	M	5 Aug 1989	1989	2004	2004	2004
Nathalie KAPPES	GER	W	5 Aug 1985	1985	None	None	None
Franziska KEGEBEIN	GER	W	12 Jan 1986	1986	2009,2009,2009,2008,2008,2007,2006,2005,2004	2004	2009
Bernhard KEPPLER	GER	M	23 Nov 1986	1986	None	None	None
Richard KEPPLER	GER	M	9 Aug 1985	1985	2007	2007	2007
Philipp KLEBER	GER	M	3 Jul 1986	1986	2004	2004	2004
Jonathan KOCH	GER	M	29 Oct 1985	1985	2017,2017,2016,2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2013,2013,2013,2013,2012,2012,2011,2011,2011,2010,2010,2010,2008,2008,2008,2007,2007,2007,2006,2006,2005	2005	2017
David KOWALSKI	GER	M	30 Sep 1985	1985	None	None	None
Annika LAUSCH	GER	W	13 Dec 1985	1985	2005,2004	2004	2005
Martin LOSSNER	GER	M	17 Jun 1986	1986	2005,2004	2004	2005
Felix LOEFFLER	GER	M	27 Jun 1986	1986	2004	2004	2004
Sven MODLER	GER	M	22 Sep 1986	1986	None	None	None
Franziska MUELLER	GER	W	18 Feb 1986	1986	None	None	None
Anna OLIGMUELLER	GER	W	14 Oct 1985	1985	2005,2004	2004	2005
Martin PETERS	GER	M	22 Sep 1985	1985	None	None	None
Gerald PIPER	GER	M	22 May 1985	1985	None	None	None
Odette ROTHBART	GER	W	8 May 1985	1985	None	None	None
Sebastian SCHEITER	GER	M	14 Jan 1985	1985	None	None	None
Stephanie SCHILLER	GER	W	25 Jul 1986	1986	2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2008,2008,2007,2007,2007,2007,2006,2006,2006,2006,2005,2005,2005,2004	2004	2012
Simon SCHIML	GER	M	13 Aug 1986	1986	2007,2006	2006	2007
Anke SCHMIDT	GER	W	10 Sep 1985	1985	None	None	None
Sebastian SCHMIDT	GER	M	6 Jan 1985	1985	2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2008,2008,2008,2008,2007,2007,2007,2006,2006,2005,2004	2004	2012
Kerstin SCHROEDER	GER	W	14 Nov 1985	1985	None	None	None
Kristof WILKE	GER	M	17 Apr 1985	1985	2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2010,2009,2009,2009,2008,2008,2008,2008,2007,2007,2007,2006	2006	2015
Christine WULFERT	GER	W	19 Mar 1985	1985	None	None	None
Sonja ZIEGLER	GER	W	30 May 1986	1986	2007,2007,2005,2005,2004	2004	2007
Pia ZUBROWSKI	GER	W	5 Jun 1986	1986	2004	2004	2004
Maria FITLERA	GRE	W	8 Jun 1987	1987	2004	2004	2004
Theodoros KAIKAS	GRE	M	9 Nov 1985	1985	None	None	None
Tsz Ching CHAN	HKG	W	30 Jul 1990	1990	2003	2003	2003
Kam To CHONG	HKG	M	29 Jan 1987	1987	2005,2004,2003	2003	2005
Kit Ying LAI	HKG	W	22 Nov 1984	1984	2003	2003	2003
Tsz Kit WONG	HKG	M	20 Sep 1981	1981	2003	2003	2003
Ka Ching WOO	HKG	M	26 Apr 1986	1986	2005,2004,2003	2003	2005
David NESTOLA	ITA	M	25 Mar 1983	1983	None	None	None
Francesco RIGON	ITA	M	7 Jan 1987	1987	2016,2013,2011,2011,2010,2010,2009,2009,2008,2007,2005,2004	2004	2016
Giovanni SCHIATTARELLA	ITA	M	18 Apr 1985	1985	None	None	None
Giorgio TUCCINARDI	ITA	M	22 Dec 1985	1985	2016,2016,2016,2015,2014,2014,2013,2013,2013,2011,2011,2010,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2005	2005	2016
Evgheni TASCO	MDA	M	26 Jun 1984	1984	2004,2003	2003	2004
Bas BRANDSEN	NED	M	7 Jan 1985	1985	2006,2005	2005	2006
Maria CLAUS	NED	W	21 Oct 1985	1985	None	None	None
W. VAN DER STRAATEN	NED	W	12 Apr 1978	1978	None	None	None
Anders AARVIK	NOR	M	20 Oct 1985	1985	None	None	None
Peter BENNY	NZL	M	6 Dec 1983	1983	2007,2007,2007,2003	2003	2007
Juliette HAIGH	NZL	W	4 Aug 1982	1982	2012,2012,2012,2011,2011,2011,2010,2010,2010,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2003	2003	2012
Mark PATTERSON	NZL	M	21 May 1981	1981	2004,2003	2003	2004
Amanda SCOWN	NZL	W	9 Sep 1976	1976	None	None	None
Rodney STEPHENS	NZL	M	31 Jul 1981	1981	2003	2003	2003
Andrey ANDRONOV	RUS	M	6 Sep 1986	1986	2004	2004	2004
Alexandr BUTUSOV	RUS	M	3 Jun 1986	1986	2004,2003	2003	2004
Sergei SHRUKIN	RUS	M	24 Aug 1985	1985	None	None	None
Milos CUDIC	SRB	M	22 Nov 1983	1983	2009,2003	2003	2009
Olga BONDARETS	UKR	W	10 Jun 1983	1983	2003	2003	2003
Oleksandr MAGERA	UKR	M	8 Feb 1982	1982	2004,2003	2003	2004
Pablo COLADO BOZA	ESP	M	2 Jul 1981	1981	None	None	None
Adalberto ELVIRA SANCHEZ	ESP	M	2 Mar 1980	1980	None	None	None
Alfonso GALIANO MARTINEZ	ESP	M	6 Aug 1973	1973	2002	2002	2002
Raul LONGARES GONZALEZ	ESP	M	None	None	None	None	None
Francisco SEGURA JIMENEZ	ESP	M	6 Mar 1979	1979	None	None	None
Marcos VEGA VERONA	ESP	M	3 Jun 1973	1973	2002	2002	2002
Laurent CARNEL	FRA	M	None	None	2003	2003	2003
Gervais THOUILLET	FRA	M	None	None	2003	2003	2003
Anne-Marie DELEBECQ	FRA	W	None	None	2003	2003	2003
Christophe SEYS	FRA	M	None	None	2003	2003	2003
Mathew HARRISON	GBR	M	5 Dec 1986	1986	2003	2003	2003
Antonis AXAGORORARIS	GRE	M	16 Mar 1984	1984	2003,2002	2002	2003
Athanasios KITROMILIDIS	GRE	M	18 Jan 1978	1978	2003,2002	2002	2003
Konstantinos MONACHOS	GRE	M	23 Jun 1981	1981	2003,2002	2002	2003
Lampros GIOUROUKIS	GRE	M	None	None	2003	2003	2003
Ka Wing CHONG	HKG	M	7 May 1986	1986	None	None	None
Man Hong LAM	HKG	M	20 Aug 1984	1984	None	None	None
Gaetano MARCHETTO	ITA	M	11 Oct 1962	1962	2006,2005,2004,2003	2003	2006
Enio BILLIATO	ITA	M	6 May 1958	1958	2006,2005,2004,2003	2003	2006
Vittorio BOLIS	ITA	M	8 May 1946	1946	2007,2006,2005,2004,2003	2003	2007
Donata GRIZZETTI	ITA	W	21 Sep 1962	1962	2005,2004,2003	2003	2005
Ambrogio MARZOLI	ITA	M	8 Dec 1949	1949	None	None	None
Agnese MORO	ITA	W	21 Jan 1956	1956	2008,2007,2006,2004,2003	2003	2008
Erminia PETRONE	ITA	W	12 Jul 1962	1962	2003	2003	2003
Valentina CALABRESE	ITA	W	23 Apr 1990	1990	2011,2011,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2007,2003	2003	2011
Yasser CHKIK	MAR	M	None	None	2003	2003	2003
Mohammed EL MOUTAFEIL	MAR	M	None	None	2003	2003	2003
Omar EL MESKINI	MAR	M	None	None	2003	2003	2003
Fakri L'HOUSSAIN	MAR	M	None	None	2003	2003	2003
Matteo DUZZI	ITA	M	None	None	2003	2003	2003
Catharina BIJL	NED	W	26 Jan 1970	1970	2004,2003,2002	2002	2004
Marianna HUIJBEN	NED	W	8 Apr 1965	1965	2005,2003	2003	2005
Paul DE JONG	NED	M	13 Jan 1983	1983	2008,2007,2007,2006,2005,2004,2003	2003	2008
Martin LAURIKS	NED	M	11 May 1959	1959	2008,2007,2007,2006,2005,2004,2003,2002	2002	2008
Helen OP DEN VELDE-BERGER	NED	W	14 May 1962	1962	2004,2003,2002	2002	2004
